Wilson Pickett,spotify:artist:0N5PyKJzS3M1XNlaCL7bbE
Judy Garland,spotify:artist:0hItVPjwJLVZrFqOyIsxPf
Tommy James & The Shondells,spotify:artist:01hRNr3yF5bYnPq4wZ88iI
Eartha Kitt,spotify:artist:1AwO9pWEBSBoWdEZu28XDC
Gerry Mulligan,spotify:artist:6l40OFJhuTbHQ9V12evc9K
The Shirelles,spotify:artist:0x83OBqixqdCHnStP5VMcn
Gene Autry,spotify:artist:5ixB75BQR3ADoWQkcHQJTs
Doris Day,spotify:artist:3ESG6pj6a0LvUKklENalT6
Dionne Warwick,spotify:artist:2JSjCHK79gdaiPWdKiNUNp
Henry Mancini,spotify:artist:2EExdpjU4SK3xnJHO5paJf
Engelbert Humperdinck,spotify:artist:17XXKfRBMCWvLrqGoNkJXm
Ray Conniff,spotify:artist:7LfRnzGM0wRSyS5mmAwJbv
The Lovin' Spoonful,spotify:artist:7CCn4PFRRRZF127jtCBAUe
Roberta Flack,spotify:artist:0W498bDDNlJIrYMKXdpLHA
Sammy Davis Jr.,spotify:artist:1NAWG3AngjBXyKbmPaz92D
Teddy Wilson,spotify:artist:0tg5uVI4VjzZOFzBryJZii
Dinah Washington,spotify:artist:32LHRiof0sa4taYew9i3Fa
Herb Alpert & The Tijuana Brass,spotify:artist:09L3cUdx0hq6qn5bKuJJ4I
Mel Tormé,spotify:artist:4X8QFzZ1HqwPfwDfyjtwXC
Jimmy Durante,spotify:artist:5FNHfTn3yzVpqdUyWwej0v
Lesley Gore,spotify:artist:08b2PA6eFyugsWAk41eQKZ
Art Tatum,spotify:artist:3DtSOCXYU6o4EV0K1NgIKq
Ernesto Cortazar,spotify:artist:2H9JNqowSMr4wZzQuJC1zJ
Bobby Vinton,spotify:artist:6bOYtKnpLPQSfMpS2ilotK
Neil Sedaka,spotify:artist:5N6GwJzOcOY5kv8p0NjhYL
Ricky Nelson,spotify:artist:73sSFVlM6pkweLXE8qw1OS
Jerry Vale,spotify:artist:5MaJrqhwysKwbvDePyAS6l
Ben Webster,spotify:artist:34W7ZCX0LZeJd8q6boKGOk
Anne Murray,spotify:artist:7d7q5Y1p2QWS4QRAhTQR5E
Jim Reeves,spotify:artist:2Ev0e8GUIX4u7d9etNLTXg
The Coasters,spotify:artist:3QZKZBEmr54lAVI5XvmjnM
Harry Simeone Chorale,spotify:artist:30orN5PtRhj9fN2Myr8HKV
Coleman Hawkins,spotify:artist:0JM134st8VY7Ld9T2wQiH0
The Crickets,spotify:artist:4r7JUeiYy24L7BuzCq9EjR
The Manhattan Transfer,spotify:artist:2dogRElUKV20C2khRHqjRc
Burt Bacharach,spotify:artist:35y7CZMg7jbG8Q96JY7dyC
Sonny & Cher,spotify:artist:71lGEtP9qYXDsSXjfexTqO
Eliane Elias,spotify:artist:4qKIiUdFND09cgGOc5kfoR
B.J. Thomas,spotify:artist:0uUNzXylqsZdmFDwdxaP1V
The 5th Dimension,spotify:artist:1UUYAQ9LiRsZF0ZukQNWXM
Chubby Checker,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2
Vince Guaraldi,spotify:artist:7gXUrN8vgmVhKVCkw9pavV
Steve Tyrell,spotify:artist:2UPnuV7os71xTZTyyEgj1B
Clifford Brown,spotify:artist:1HJHwWck1EY096ea2iPAHO
Rosemary Clooney,spotify:artist:0NkyXWGxE3WTFixDSJ39PK
Charlie Rich,spotify:artist:218kRJZ7FJs0hWIk8Ynzhz
Connie Francis,spotify:artist:3EY5DxGdy7x4GelivOjS2Q
Cliff Richard,spotify:artist:2nvKpWcP8etYTq4JrRiUiy
Nancy Wilson,spotify:artist:2JfVCMa3FlvQRlLT5uH9zb
Renee Olstead,spotify:artist:19B0pJt4UEl3fUijGTRzxB
The Association,spotify:artist:2kuNswDC82PL9xRbfaZJaS
Solomon Burke,spotify:artist:4nts0oxMT67lVUoi5Kjxrb
Manfred Mann,spotify:artist:5670CyWrIOA7702gNjsGMZ
Fred Astaire,spotify:artist:4BtDAwCZhR6nPrJtbVgQNX
Herman's Hermits,spotify:artist:48YxSlb23RAaCd4RyHcV9V
Bobby Vee,spotify:artist:5MX2l6ewjOaeWn1lYNhzlO
Gene Kelly,spotify:artist:1mhlGWeiNrWnhJJc2EufYk
Del Shannon,spotify:artist:3c8WoNjBfyLJhFObE6RHgs
Wayne Newton,spotify:artist:5NX29TmuYrENlpvz6IgYMJ
